stop_id,stop_code,name,name_he,lat,lng,n_lines,n_allday_lines
262,39175,HaTrufa/Arye Regev,התרופה/אריה רגב,32.282866,34.862884,14,8
13701,25868,Ibn Gvirol/Rokach Blvd,אבן גבירול/שד' רוקח,32.099380,34.782769,14,8
44001,12473,Kanyon HaNegev/Yits'hak Ben Zvi,קניון הנגב/יצחק בן צבי,31.244291,34.795887,14,8
13318,23012,Milano Square/Ibn Gvirol,כיכר מילאנו/אבן גבירול,32.094340,34.783627,14,8
8996,578,Talmud Torah Magen Avot/Hayarden River,תלמוד תורה מגן אבות/נהר הירדן,31.725929,34.995352,14,8
48664,1698,Beit HaNoar Ha-Ivri/HaRav Herzog,בית הנוער העברי/הרב הרצוג,31.759591,35.200001,14,7
13484,25358,Carmelit Terminal,מסוף כרמלית,32.066804,34.765902,14,7
354,39269,Chaim Weizmann Boulevard/Shaar HaEmek,שדרות חיים וייצמן/שער העמק,32.328953,34.858496,14,7
25878,11342,Emergency Soroka/Yitzhack Rager,סורוקה מיון/יצחק רגר,31.256367,34.798679,14,7
23880,36053,HaRishonim Railway Station,ת. רכבת הראשונים,31.949155,34.803799,14,7
38692,37456,HaTkuma/HaHistadrut,התקומה/ההסתדרות,31.969032,34.779040,14,7
10626,3605,King George/Ben Yehuda,המלך ג'ורג'/בן יהודה,31.780820,35.216057,14,7
23415,35534,Moshe Dayan/Levi Eshkol,משה דיין/לוי אשכול,31.979243,34.780344,14,7
36980,6218,Zekharya HaNavi/Neriya HaNavi,זכריה הנביא/נריה הנביא,31.705615,34.978383,14,7
13092,21454,יגאל אלון/הפלמ''ח,יגאל אלון/הפלמ''ח,32.062878,34.792016,14,7
48515,1697,Amoraim Boulevard/Pumbedita,שדרות האמוראים/פומפדיתא,31.701698,34.970713,14,6
14040,26504,Birenbaum/HaRav Uzi'el,בירנבוים/הרב עוזיאל,32.071681,34.840713,14,6
8691,160,Birkat Avraham,ברכת אברהם,31.811591,35.217480,14,6
8694,163,Druck/Pata'el,דרוק/פתאל,31.814470,35.217423,14,6
50069,13847,Eilat Entrance Parking,חנה וסע מבואות אילת,29.571310,34.962341,14,6
9485,1352,Eshkol Blvd/Mishmar HaGvul,שד' אשכול/משמר הגבול,31.797691,35.222887,14,6
37785,6271,Golda/Giv'at Moshe,גולדה/גבעת משה,31.798247,35.217578,14,6
12830,21032,HaShalom Road/HaMa'avak,דרך השלום/המאבק,32.059083,34.809867,14,6
12831,21033,HaShalom Road/HaMa'avak,דרך השלום/המאבק,32.058940,34.809636,14,6
8688,157,Igrot Moshe/HaRav Uzi Kalchheim,אגרות משה/הרב עוזי קלכהיים,31.809367,35.222186,14,6
8687,156,Igrot Moshe/Kahaneman,אגרות משה/כהנמן,31.809066,35.223852,14,6
14031,26489,Kehilot Ya'akov/HaRav Yitshak Nissim,קהילות יעקב/הרב יצחק ניסים,32.072920,34.838884,14,6
29476,20335,La Guardia/HaTayasim Road,לה גווארדייה/דרך הטייסים,32.059179,34.801864,14,6
8690,159,Meir Hadash/Hazon Ish,מאיר חדש/חזון איש,31.810164,35.218852,14,6
8689,158,Meir Hadash/Igrot Moshe,מאיר חדש/אגרות משה,31.810199,35.220563,14,6
8749,221,Ministry of Foreign Affairs/Rabin Blvd,משרד החוץ/שד' רבין,31.782889,35.202207,14,6
